"id","title","addedIn","image","release","genres","platforms","averageRating","trophy","rating","backlogged"
"159","Dave the Diver","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co4v9d.jpg","2022-10-27 02:00:00.000","RPG,Simulator,Adventure,","PC,Mac,PS4,Switch,PS5,","8.6","0","4.5","0"
"161","Final Fantasy VII","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co4xgh.jpg","2012-08-14 02:00:00.000","RPG,TBS,","PC,Android,iOS,PS4,XONE,Switch,","8.4","0","3.5","0"
"168","Another Crab's Treasure","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co6mrs.jpg","2024-04-25 02:00:00.000","Platform,RPG,Adventure,Indie,","PC,Switch,PS5,Series X,","8","0","2.5","1"
"169","Stellar Blade","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co7p80.jpg","2024-04-26 02:00:00.000","RPG,Adventure,","PS5,","8.7","0","2.5","1"
"170","Little Kitty, Big City","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co6mbt.jpg","2024-05-09 02:00:00.000","Simulator,Adventure,Indie,","PC,XONE,Switch,","0","0","2.5","1"
"171","Animal Well","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co4hdh.jpg","2024-05-09 02:00:00.000","Platform,Puzzle,Adventure,Indie,","PC,Switch,PS5,","0","0","2.5","1"
"172","Crisis Core: Final Fantasy VII - Reunion","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co5afd.jpg","2022-12-13 01:00:00.000","RPG,","PC,PS4,XONE,Switch,PS5,Series X,","7.9","0","2.5","0"
"173","Metal Gear Solid Delta: Snake Eater","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co7lb7.jpg","2024-12-31 01:00:00.000","Shooter,Tactical,Adventure,","PC,PS5,Series X,","0","0","2.5","1"
"174","Disco Elysium","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co1sfj.jpg","2019-10-15 02:00:00.000","RPG,Adventure,","PC,Mac,","9.2","0","2.5","1"
"175","Resident Evil 3","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co22l7.jpg","2020-04-03 02:00:00.000","Shooter,Adventure,","PC,PS4,XONE,PS5,Series X,","8","0","3.5","0"
"176","Dredge","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co69zw.jpg","2023-03-30 02:00:00.000","RPG,Simulator,Adventure,","PC,PS4,XONE,Switch,PS5,Series X,","8.2","1","4","0"
"177","Tunic","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/td1t8kb33gyo8mvhl2pc.jpg","2022-03-16 01:00:00.000","Puzzle,RPG,Adventure,Indie,","PC,Mac,PS4,XONE,Switch,PS5,Series X|S,","8.7","1","4","0"
"178","Elden Ring: Shadow of the Erdtree","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co7sly.jpg","2024-06-21 02:00:00.000","RPG,Adventure,","PC,PS4,XONE,PS5,Series X|S,","9.6","0","5","0"
"179","PokéRogue","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co82cj.jpg","2024-03-22 01:00:00.000","RPG,Strategy,","browser,","8.9","0","4.5","0"
